lemma,count
arthur,892
verantwortlich,891
still,891
gemarkung,891
hälfte,890
fertig,890
befehl,890
erbe,889
best,889
haß,889
nebst,888
blut,888
vem,887
wertpapier,886
zeichnen,886
eingehen,886
ran,886
beg,885
prüfen,885
erzberger,884
reis,883
persönlichkeit,882
ziemlich,881
bre,880
jugend,880
wonach,880
ader,880
zurü,879
dai,879
seele,879
mmm,879
ear,878
hoffmann,878
voa,878
betracht,878
einstimmig,877
förderung,877
obst,877
gerecht,876
bereiten,875
fügen,875
dere,875
akt,875
näheres,874
debatte,874
angeb,873
krankheit,873
abschreibung,871
absehen,870
prozent,870
eise,870
hervorragend,870
gebildet,870
gesandter,868
kan,868
keen,868
vorwurf,868
einführung,868
landhaus,867
ermöglichen,866
port,866
fah,864
zuerst,862
elektr,862
verwenden,861
telegramm,861
selber,861
kolonie,860
bedarf,860
verpflichtung,860
delegierter,859
stell,858
zir,858
leht,857
verdienen,856
beabsichtigen,856
betreffen,856
nde,856
grafe,856
teilnehmen,855
rudolf,855
brücke,852
aufhebung,852
gefl,852
beenden,852
mung,852
gog,851
darstellen,851
demokratie,850
einführen,849
gerichtsstelle,849
lieben,848
leit,848
weber,847
grau,847
heirat,847
genügend,845
erinnern,844
gesellschafter,844
ape,844
beispiel,844
tion,843
richt,843
kartoffel,843
gute,843
eigentümer,843
mig,842
reg,841
che,841
versailles,840
bur,840
schwester,840
kongreß,840
kasse,839
prokurist,839
big,839
regeln,838
verf,838
wertvoll,838
bot,838
holen,838
zwangsvoll,837
diel,837
reichsregierung,837
beseitigen,837
aufen,836
scheitern,836
seien,836
kartenblatt,836
sand,836
wal,836
west,835
nisch,835
weich,834
errichten,834
dichter,834
strafe,834
wahrscheinlich,833
mäntel,833
nge,833
rahmen,833
lesung,832
mission,832
vers,832
she,832
sozialdemokrat,832
leer,831
unfer,830
demokrat,829
mitarbeiter,829
schrift,828
bezw,828
ift,828
führend,828
lan,828
reit,828
erh,827
rich,827
serie,826
offenbar,825
anmeldung,825
fed,824
gefängnis,824
wad,823
hamburger,823
leder,823
nnn,823
vorteil,822
spandau,822
erfolgreich,821
anteil,821
bremen,821
ion,821
geltend,820
drängen,820
frist,819
aussprechen,819
ausdru,819
herstellen,819
gre,818
geheimrat,818
tan,818
widerspruch,817
rel,817
hängen,816
last,816
erleiden,816
freiwillig,815
einrichten,814
vou,814
untersuchung,814
ehemalig,814
kei,813
martin,813
kart,813
era,813
abt,812
anen,811
fie,810
genügen,810
auer,810
rubrik,809
sue,809
amm,809
genannt,809
beer,808
woh,808
schwierig,808
empfinden,807
kur,807
fofort,807
beri,807
bite,806
petersburg,806
bunt,805
diefer,805
arbeitgeber,805
uch,804
behauptung,804
beben,803
sommer,803
streng,802
leitend,802
wahrheit,801
vorlegen,801
doll,800
erörterung,799
südlich,799
befindlich,798
unger,798
genehmigung,798
staatssekretär,798
dresden,797
bae,797
seren,796
vox,795
feiern,795
stel,794
nochh,794
kräftig,793
dte,793
eugen,793
ergreifen,792
kilometer,790
stre,789
element,789
bande,789
delegation,789
bestätigen,789
solange,789
landwirt,788
verlegen,787
eilen,787
bestand,786
park,786
zins,786
zufolge,785
wag,784
lachen,784
verständigung,784
verbreiten,784
ukrainisch,783
zusammenhang,783
went,783
